StudentID,FirstName,LastName,Major,MidtermScore,FinalScore,ProjectScore,Attendance
6401001,Somchai,Jaidee,Computer Engineering,85.0,90.0,45,95
6401002,Somsri,Rakdee,Computer Engineering,76.0,,48,88
6401003,Mana,Petch,Civil Engineering,65.0,72.0,38,92
6401004,Chujai,Klaew,Electrical Engineering,92.0,95.0,50,98
6401005,Piti,Yindee,Computer Engineering,88.0,85.0,42,85
6401006,Malee,Boonma,Civil Engineering,,65.0,35,75
6401007,Weera,Chokdee,Electrical Engineering,78.0,82.0,40,90
6401008,Jinda,Suksai,Computer Engineering,95.0,98.0,49,99
6401009,Arun,Rungrueng,Industrial Engineering,55.0,60.0,30,68
6401010,Naree,Ngamdee,Civil Engineering,72.0,78.0,41,94
6401011,David,Smith,Computer Engineering,98.0,100.0,50,100
6401012,Emily,Jones,Electrical Engineering,68.0,75.0,39,80
6401013,Michael,Brown,Civil Engineering,81.0,80.0,44,91
6401014,Jessica,Davis,Computer Engineering,,92.0,47,93
6401015,Chris,Wilson,Industrial Engineering,62.0,70.0,33,65
